latitude,longitude,cluster
-22.45148,-57.24786,-1
-3.90234,-50.88088,1391
-21.48672,-51.69031,110
-3.90355,-50.8882,1391
-3.77704,-50.15829,1316
-3.7712,-50.15936,1316
-21.46042,-51.59146,110
-3.71488,-49.85806,1356
-21.45649,-51.59225,110
-21.45256,-51.59301,110
-3.72869,-49.94066,1356
-22.31248,-56.94516,180
-4.67167,-55.75137,1252
-22.20006,-56.491,180
-3.78183,-50.3306,-1
-21.69008,-53.64348,-1
-3.92357,-51.24777,1340
-22.18482,-56.73182,180
-3.88529,-51.05245,1403
-22.18538,-56.73558,180
-21.03628,-50.6061,103
-3.90758,-51.18559,1340
-22.2146,-57.72396,158
-3.72337,-50.19661,-1
-22.21176,-57.7284,158
-22.21129,-57.7283,158
-4.29355,-53.65996,1161
-22.19864,-57.83368,159
-3.29798,-47.83873,980
-22.20354,-57.91671,159
-3.29903,-47.84475,980
-4.28897,-53.66071,1161
-22.20409,-57.92063,159
-4.30729,-53.88352,1163
-22.20069,-57.92117,159
-22.42695,-59.94126,122
-4.31013,-53.88086,1163
-4.64019,-56.03332,1253
-22.41956,-59.94236,122
-20.48359,-48.64853,-1
-20.80938,-51.52839,112
-20.80541,-51.52927,112
-22.33456,-61.71065,102
-20.7894,-51.50981,116
-20.79041,-51.51526,116
-20.78743,-51.5215,116
-3.30436,-47.84341,980
-20.78643,-51.51611,116
-3.29757,-47.84458,980
-20.78245,-51.51695,116
-3.77626,-50.7659,-1
-20.78345,-51.52234,116
-4.44461,-54.92443,1143
-3.71603,-50.54266,1390
-3.71539,-50.53883,1390
-3.71666,-50.54649,1390
-4.20398,-53.54075,1160
-20.78047,-51.52856,116
-3.57368,-49.90969,-1
-20.77449,-51.51863,117
-3.59031,-50.04359,1523
-20.77051,-51.51948,117
-20.77265,-51.51614,117
-3.58957,-50.03923,1523
-20.77362,-51.52155,117
-4.47847,-55.39985,1422
-22.16453,-60.99067,102
-4.51668,-55.63708,-1
-3.95072,-52.21579,-1
