latitude,longitude,cluster,distance
-4.23877,-48.1019,63,3.4735850414e-05
-4.2689,-48.36358,64,4.3982083091e-05
-4.288,-48.54926,65,4.471031196e-05
-4.28891,-48.55574,65,3.1612958955e-05
-4.24853,-48.57466,66,4.3497887438e-05
-4.2495,-48.58167,66,6.9244430906e-05
-3.68525,-44.61477,-1,inf
-3.67981,-44.6156,67,6.1754436903e-05
-3.68031,-44.61911,67,6.1754436903e-05
-4.21508,-48.59234,68,4.0585280231e-05
-4.21412,-48.58532,-1,inf
-4.21603,-48.59934,69,2.8926634446e-05
-4.20615,-48.57941,70,4.3691686841e-05
-4.20799,-48.59304,68,4.3452640278e-05
-4.20893,-48.59992,71,1.7942633583e-05
-4.2071,-48.58646,72,4.4232731796e-05
-4.06149,-47.61853,73,5.7404143699e-05
-4.06228,-47.62433,73,7.3851841747e-05
-4.05488,-47.61963,74,5.7858350835e-05
-4.21742,-48.59369,68,4.7118229294e-05
-4.20837,-48.58057,70,4.3691686841e-05
-4.21032,-48.59428,68,4.6039048635e-05
-4.20937,-48.58759,72,4.4232731796e-05
-4.06412,-47.62051,73,5.7404143699e-05
-4.05669,-47.61588,74,7.252731119e-05
-4.05752,-47.62164,74,5.7858350835e-05
-4.18118,-48.59125,-1,inf
-4.17417,-48.5924,-1,inf
-4.08825,-48.0316,-1,inf
-3.68263,-45.42844,-1,inf
-4.13617,-48.84021,-1,inf
-4.1315,-48.9286,-1,inf
-3.5989,-45.46055,-1,inf
-3.52432,-45.14012,75,4.7005513171e-05
-3.93471,-48.131,76,1.4043359358e-05
-3.52637,-45.13837,75,4.7005513171e-05
-3.94012,-48.12913,-1,inf
-3.94092,-48.13466,-1,inf
-3.74167,-47.16763,-1,inf
-3.7655,-47.47755,-1,inf
-3.37516,-45.30286,77,6.7589510645e-05
-3.37571,-45.3067,77,6.7589510645e-05
-3.45792,-46.13191,78,7.771428477e-05
-3.45855,-46.1364,78,4.5424508851e-05
-2.8876,-42.25025,79,2.6633811434e-05
-2.88715,-42.24879,79,2.6633811434e-05
-3.45599,-46.13593,78,4.5424508851e-05
-3.44332,-46.13309,-1,inf
-3.35385,-46.36872,80,1.8428472867e-05
-3.35449,-46.37331,80,1.8145869162e-05
-3.35513,-46.37789,80,1.8390632788e-05
-3.31706,-45.99499,-1,inf
-3.35428,-46.37229,80,1.8145869162e-05
-3.35361,-46.36769,80,1.8428472867e-05
-3.35495,-46.37685,80,1.8390632788e-05
-2.88615,-45.26305,81,3.8464051848e-05
-3.44475,-49.25353,82,3.9176819376e-05
-2.88835,-45.26318,81,3.8464051848e-05
-3.44297,-49.2549,82,3.9176819376e-05
-2.94084,-45.89451,-1,inf
-3.29915,-48.80717,83,2.783146804e-05
-3.3026,-48.80844,83,4.8262075252e-05
-3.05484,-47.76829,84,3.2962571973e-05
-3.17217,-48.69812,-1,inf
-3.15819,-48.70012,-1,inf
-3.05665,-47.76775,84,3.2962571973e-05
-3.16728,-48.70385,-1,inf
-3.16631,-48.69723,-1,inf
-2.64589,-45.25818,-1,inf
-2.64029,-45.25899,-1,inf
-2.84958,-46.67711,-1,inf
-2.84342,-46.67797,-1,inf
-3.0162,-48.09645,-1,inf
-2.54026,-45.69687,85,1.7426802884e-05
-2.53927,-45.69674,85,1.7426802884e-05
-2.59165,-46.04238,-1,inf
-2.62349,-46.83961,86,1.1952605462e-05
-2.62771,-46.8687,87,2.2356834632e-05
-2.62839,-46.87339,-1,inf
-2.62422,-46.84464,-1,inf
-2.6208,-46.86478,88,3.1649313853e-05
-2.60837,-46.91073,89,5.1141596327e-05
-2.93336,-49.40047,-1,inf
-2.61659,-46.86415,88,7.429481733e-05
-2.61132,-46.91329,89,6.8140550322e-05
-2.61066,-46.9089,89,5.1141596327e-05
-2.61204,-46.91801,-1,inf
-2.60444,-46.90983,89,7.0363452529e-05
-2.60515,-46.91454,-1,inf
-2.71579,-48.34754,-1,inf
-2.72122,-48.34886,-1,inf
-2.18788,-45.12225,90,6.3118732286e-05
-2.18841,-45.12583,90,6.3118732286e-05
-2.18236,-45.12302,91,6.3464026383e-05
-2.5202,-47.40598,-1,inf
-2.18289,-45.12662,91,6.3464026383e-05
-2.76947,-49.25754,92,1.1017346993e-05
-2.76726,-49.25595,92,4.7498303128e-05
-2.73485,-49.38373,-1,inf
-2.2177,-46.44779,93,6.9939787357e-05
-2.39719,-47.78608,94,4.6318222191e-05
-2.22144,-46.44635,93,6.9939787357e-05
-2.3985,-47.78839,94,4.6318222191e-05
-2.04229,-45.45998,-1,inf
-1.97086,-45.42488,-1,inf
-1.95527,-45.74205,-1,inf
-2.11351,-46.84576,-1,inf
-1.89191,-45.62855,95,4.4751774774e-05
-1.89247,-45.63236,95,4.4450879298e-05
-1.88566,-45.62543,95,4.5357655122e-05
-1.88623,-45.6293,95,5.5590215772e-05
-1.88679,-45.63314,95,5.5959394603e-05
-1.88882,-45.62529,95,5.5206446481e-05
-1.88941,-45.62912,95,4.4751774774e-05
-1.88999,-45.63294,95,4.4450879298e-05
-1.88312,-45.62598,95,4.5357655122e-05
-1.94971,-46.46114,-1,inf
-2.16606,-48.10194,96,5.4440895293e-05
-2.12195,-48.07891,97,5.7516876216e-05
-1.92251,-46.73926,98,2.4055788444e-05
-1.92318,-46.74392,98,5.8724524002e-05
-2.16295,-48.10218,96,5.4440895293e-05
-1.92297,-46.74056,98,2.4055788444e-05
-2.11866,-48.0791,97,5.7516876216e-05
-1.80643,-46.05111,-1,inf
-2.29424,-49.64682,99,3.2172567215e-05
-1.75765,-46.08359,100,7.2140302787e-05
-1.75826,-46.08768,100,7.2140302787e-05
-2.07017,-48.30561,101,6.7464718565e-05
-2.07105,-48.31163,101,7.7193528186e-05
-2.29334,-49.64843,99,3.2172567215e-05
-2.06778,-48.30865,101,6.7464718565e-05
-1.79944,-46.67018,-1,inf
-2.05199,-48.43277,-1,inf
-2.05288,-48.43872,-1,inf
-1.6814,-46.12836,-1,inf
-1.67555,-46.1292,-1,inf
-1.89675,-48.28147,-1,inf
-1.81478,-47.91061,102,4.4165167783e-05
-1.81559,-47.9161,102,5.8768286129e-05
-1.86114,-48.41351,103,5.1340632702e-05
-1.862,-48.41947,104,5.073405287e-05
-1.69449,-47.31301,-1,inf
-1.8161,-47.91277,102,4.4165167783e-05
-1.80954,-47.91364,-1,inf
-1.86586,-48.41462,-1,inf
-1.86678,-48.42064,-1,inf
-1.85911,-48.41564,103,5.1340632702e-05
-1.86001,-48.42159,104,5.073405287e-05
-1.75876,-48.24976,-1,inf
-1.75961,-48.25554,-1,inf
-1.75915,-48.18148,-1,inf
-1.76321,-48.25171,-1,inf
-1.3507,-45.7781,-1,inf
-1.64718,-47.93428,-1,inf
-1.64064,-47.93527,-1,inf
-1.6682,-48.1189,-1,inf
-1.66962,-48.2649,105,6.5800994287e-05
-1.66585,-48.26487,105,6.5800994287e-05
-1.35231,-46.68645,-1,inf
-1.5944,-48.56525,-1,inf
-1.4585,-47.65322,-1,inf
-1.39068,-47.55242,-1,inf
-1.39147,-47.55758,-1,inf
-1.1933,-47.37858,106,3.8089859313e-05
-1.19023,-47.37762,106,4.1141520214e-05
-1.04799,-47.65162,-1,inf
-1.02341,-48.05379,-1,inf
-0.9817,-47.91051,-1,inf
-0.89903,-47.76424,-1,inf
-0.89823,-47.75907,-1,inf
-0.78595,-47.84283,-1,inf
-0.89554,-48.73714,107,4.5258078715e-05
-0.89646,-48.74321,108,4.4638683999e-05
-0.89412,-48.73931,107,4.5258078715e-05
-0.89509,-48.74537,108,4.4638683999e-05
-0.77649,-48.56106,-1,inf
0.01506,-49.44456,109,4.376184665e-05
0.11499,-49.82159,-1,inf
0.92482,-50.20076,-1,inf
0.92369,-50.20792,-1,inf
0.92904,-50.26818,110,2.8460150717e-05
0.92968,-50.26968,110,2.8460150717e-05
1.69303,-50.57254,111,4.2482678721e-05
1.69423,-50.56518,112,4.2491763275e-05
1.70271,-50.55893,113,4.2345388749e-05
1.70152,-50.56628,112,4.2996794687e-05
1.69487,-50.56283,112,4.2491763275e-05
1.69363,-50.57018,111,4.2482678721e-05
1.70339,-50.5566,113,4.2345388749e-05
1.70216,-50.5639,112,4.2996794687e-05
1.77738,-50.56065,114,4.2902669538e-05
1.81863,-50.58241,115,2.6028766757e-05
1.81982,-50.57504,116,2.6900335889e-05
1.81745,-50.58976,117,2.5361932221e-05
1.81978,-50.58336,115,2.6028766757e-05
1.82101,-50.57602,116,1.7176131059e-05
1.81855,-50.59071,117,2.5361932221e-05
-38.36306,-68.74535,118,6.6156577059e-05
-38.36694,-68.67925,-1,inf
-29.4419,-64.98326,-1,inf
-24.79045,-55.38703,-1,inf
-25.56639,-65.71832,119,8.029627657e-06
-25.56639,-65.71883,119,8.029627657e-06
-25.30015,-65.45538,-1,inf
-24.28953,-57.13047,120,5.9881802091e-05
-24.28614,-57.13105,120,5.9881802091e-05
-24.06824,-57.91373,121,3.9563442635e-05
-24.07006,-57.91225,121,3.9563442635e-05
-23.82499,-56.73293,122,5.9197329626e-05
-23.82164,-56.73351,122,5.9197329626e-05
-23.43084,-56.77755,123,5.9349238147e-05
-23.42748,-56.77812,123,5.9349238147e-05
-23.42581,-56.79014,124,5.9201757283e-05
-23.42134,-56.78308,124,6.1953970066e-05
-2.40872,-47.7607,125,4.0694304497e-05
-23.4219,-56.7869,124,5.9176883153e-05
-23.42246,-56.79072,124,5.9201757283e-05
-23.42302,-56.79453,124,6.1795318305e-05
-23.41855,-56.78747,124,5.9176883153e-05
-23.32349,-56.24014,-1,inf
-23.44192,-57.08987,-1,inf
-21.98806,-49.31923,-1,inf
-21.97378,-49.31766,-1,inf
7.48718,-62.28102,126,5.893259563e-05
-23.4237,-57.84621,-1,inf
-23.42481,-57.85421,-1,inf
-4.04324,-50.36847,127,7.1272808106e-05
-23.17473,-56.27761,-1,inf
-23.141,-56.96362,-1,inf
-4.0439,-50.37251,127,7.1272808106e-05
-23.41506,-59.13745,-1,inf
-3.84584,-49.36794,-1,inf
-23.36325,-58.99334,-1,inf
-4.01649,-50.38523,-1,inf
-22.93548,-56.19273,128,5.903476744e-05
-3.8967,-49.70707,-1,inf
-22.93157,-56.18955,128,6.1251316462e-05
-4.01143,-50.39026,129,6.8155490763e-05
-22.93214,-56.19331,128,5.903476744e-05
