latitude,longitude,cluster
-0.89823,-47.75907,-1
-0.78595,-47.84283,-1
-0.89554,-48.73714,107
-0.89646,-48.74321,108
-0.89412,-48.73931,107
-0.89509,-48.74537,108
-0.77649,-48.56106,-1
0.01506,-49.44456,109
0.11499,-49.82159,-1
0.92482,-50.20076,-1
0.92369,-50.20792,-1
0.92904,-50.26818,110
0.92968,-50.26968,110
1.69303,-50.57254,111
1.69423,-50.56518,112
1.70271,-50.55893,113
1.70152,-50.56628,112
1.69487,-50.56283,112
1.69363,-50.57018,111
1.70339,-50.5566,113
1.70216,-50.5639,112
1.77738,-50.56065,114
1.81863,-50.58241,115
1.81982,-50.57504,116
1.81745,-50.58976,117
1.81978,-50.58336,115
1.82101,-50.57602,116
1.81855,-50.59071,117
-38.36306,-68.74535,118
-38.36694,-68.67925,-1
-29.4419,-64.98326,-1
-24.79045,-55.38703,-1
-25.56639,-65.71832,119
-25.56639,-65.71883,119
-25.30015,-65.45538,-1
-24.28953,-57.13047,120
-24.28614,-57.13105,120
-24.06824,-57.91373,121
-24.07006,-57.91225,121
-23.82499,-56.73293,122
-23.82164,-56.73351,122
-23.43084,-56.77755,123
-23.42748,-56.77812,123
-23.42581,-56.79014,124
-23.42134,-56.78308,124
-2.40872,-47.7607,125
-23.4219,-56.7869,124
-23.42246,-56.79072,124
-23.42302,-56.79453,124
-23.41855,-56.78747,124
-23.32349,-56.24014,-1
-23.44192,-57.08987,-1
-21.98806,-49.31923,-1
-21.97378,-49.31766,-1
7.48718,-62.28102,126
-23.4237,-57.84621,-1
-23.42481,-57.85421,-1
-4.04324,-50.36847,127
-23.17473,-56.27761,-1
-23.141,-56.96362,-1
-4.0439,-50.37251,127
-23.41506,-59.13745,-1
-3.84584,-49.36794,-1
-23.36325,-58.99334,-1
-4.01649,-50.38523,-1
-22.93548,-56.19273,128
-3.8967,-49.70707,-1
-22.93157,-56.18955,128
-4.01143,-50.39026,129
-22.93214,-56.19331,128
-4.01078,-50.3864,129
-22.93271,-56.19707,128
-3.88177,-49.69186,130
-23.30946,-59.09436,-1
-3.88242,-49.69572,130
-23.22512,-58.75945,-1
-3.77388,-49.0938,-1
-23.00793,-57.48636,-1
-23.06721,-58.25673,131
-3.87632,-49.69621,132
-3.77301,-49.08871,-1
-23.06319,-58.25321,131
-3.87564,-49.69224,132
-23.06375,-58.25728,131
-4.09797,-51.07727,-1
-23.32601,-60.4293,133
-4.0925,-51.07825,-1
-4.0894,-51.09323,-1
-23.32794,-60.42664,133
-23.32411,-60.42718,133
-3.8583,-49.77156,134
-22.66347,-56.49493,-1
-4.85643,-55.80956,-1
-23.12045,-59.88766,-1
-3.856,-49.77132,134
-23.13086,-59.96832,-1
-4.88303,-56.20632,-1
-23.10384,-59.8469,-1
-4.05329,-51.11561,-1
-4.02406,-51.00662,-1
-3.95745,-50.63903,-1
-22.7397,-57.21936,-1
-4.01846,-51.00704,-1
-4.78853,-55.98523,135
-4.78465,-55.98595,135
-22.73353,-57.2243,136
-4.13428,-52.15471,137
-22.73016,-57.22487,136
-22.73072,-57.22868,136
-23.08863,-59.96487,-1
-4.1348,-52.1578,137
-4.13376,-52.15167,137
-23.07167,-60.13387,138
-3.78611,-50.15134,139
-23.07229,-60.13666,138
-22.96511,-59.51843,-1
-3.78682,-50.15545,139
-22.96503,-59.92344,-1
-3.90992,-50.87029,140
-22.64859,-57.74524,141
-3.91053,-50.87389,140
-22.64915,-57.74915,141
-3.92996,-50.98712,-1
-4.12865,-52.15242,137
-4.12917,-52.15545,137
-3.90748,-50.88944,142
-3.90436,-50.87128,140
-3.90498,-50.87492,140
-4.7855,-56.13929,143
-22.6497,-57.75307,141
-3.90811,-50.89311,142
-4.78165,-56.14,143
-22.37711,-55.98698,144
-4.78445,-56.13798,143
-4.7852,-56.14281,143
-22.3732,-55.98381,144
-4.78135,-56.14351,143
-22.37377,-55.98756,144
-22.36435,-55.99306,-1
-4.13707,-52.15416,137
-22.35916,-56.0709,-1
-4.13756,-52.15724,137
-4.13806,-52.1603,137
-21.31123,-50.27488,-1
-4.13196,-52.1549,137
-4.13146,-52.15186,137
-22.46684,-57.25296,145
-4.13246,-52.15801,137
-3.78804,-50.15207,139
-22.46604,-57.25319,145
-3.90671,-50.8726,140
-22.46213,-57.24995,145
-3.90971,-50.89084,142
-22.46268,-57.25375,145
-22.45988,-57.25813,146
-3.78872,-50.15619,139
-3.9073,-50.87622,140
-22.45596,-57.2549,146
-3.9091,-50.88715,142
-22.45652,-57.25871,146
-3.90416,-50.89188,142
-22.45707,-57.2625,146
-22.45148,-57.24786,-1
-3.90234,-50.88088,-1
-21.48672,-51.69031,-1
-3.90355,-50.8882,142
-3.77704,-50.15829,-1
-3.7712,-50.15936,-1
-21.46042,-51.59146,147
-3.71488,-49.85806,-1
-21.45649,-51.59225,147
-21.45256,-51.59301,147
-3.72869,-49.94066,-1
-22.31248,-56.94516,-1
-4.67167,-55.75137,-1
-22.20006,-56.491,-1
-3.78183,-50.3306,-1
-21.69008,-53.64348,-1
-3.92357,-51.24777,-1
-22.18482,-56.73182,148
-3.88529,-51.05245,-1
-22.18538,-56.73558,148
-21.03628,-50.6061,-1
-3.90758,-51.18559,-1
-22.2146,-57.72396,-1
-3.72337,-50.19661,-1
-22.21176,-57.7284,149
-22.21129,-57.7283,149
-4.29355,-53.65996,-1
-22.19864,-57.83368,-1
-3.29798,-47.83873,-1
-22.20354,-57.91671,150
-3.29903,-47.84475,151
-4.28897,-53.66071,-1
-22.20409,-57.92063,150
-4.30729,-53.88352,152
-22.20069,-57.92117,150
-22.42695,-59.94126,-1
-4.31013,-53.88086,152
-4.64019,-56.03332,-1
-22.41956,-59.94236,-1
-20.48359,-48.64853,-1
-20.80938,-51.52839,153
-20.80541,-51.52927,153
-22.33456,-61.71065,-1
-20.7894,-51.50981,-1
-20.79041,-51.51526,154
-20.78743,-51.5215,155
-3.30436,-47.84341,-1
-20.78643,-51.51611,154
-3.29757,-47.84458,151
-20.78245,-51.51695,154
-3.77626,-50.7659,-1
-20.78345,-51.52234,155
-4.44461,-54.92443,-1
-3.71603,-50.54266,156
-3.71539,-50.53883,156
-3.71666,-50.54649,156
-4.20398,-53.54075,-1
-20.78047,-51.52856,-1
-3.57368,-49.90969,-1
-20.77449,-51.51863,157
-3.59031,-50.04359,158
-20.77051,-51.51948,157
-20.77265,-51.51614,157
-3.58957,-50.03923,158
-20.77362,-51.52155,157
-4.47847,-55.39985,-1
-22.16453,-60.99067,-1
-4.51668,-55.63708,-1
-3.95072,-52.21579,-1
-22.15999,-60.98601,-1
-22.16128,-60.99643,159
-4.53899,-55.80117,-1
-22.15674,-60.99177,-1
-22.15738,-60.99698,159
-5.20952,-60.13285,-1
-21.96785,-60.1615,-1
-3.38733,-49.00605,160
-20.20215,-50.04308,161
-20.20303,-50.04765,161
-4.56225,-56.04553,-1
-21.75638,-60.09911,-1
-3.34357,-48.82925,162
-21.47779,-58.91238,-1
-4.45349,-55.42564,-1
-4.34156,-54.7694,163
-21.23641,-59.11224,-1
-4.51949,-55.90567,164
-21.04636,-58.0666,-1
-4.51556,-55.90632,164
-5.15736,-60.00671,-1
-21.04186,-58.05945,165
-4.34287,-54.76952,163
-4.43521,-55.38529,-1
-21.04241,-58.0633,165
-21.03902,-58.06385,165
-4.51714,-55.90928,164
-21.53956,-62.28888,166
-4.42946,-55.37523,167
-4.43058,-55.38234,167
-4.42538,-55.37582,167
-21.54003,-62.29292,166
-4.42594,-55.3794,167
-20.67846,-56.13093,-1
-4.4265,-55.38298,167
-4.42763,-55.39018,-1
-21.87459,-66.34496,-1
-4.44052,-55.47213,168
-4.44107,-55.47563,168
-19.16837,-49.34739,169
-3.86949,-51.95594,-1
-20.61419,-57.87078,-1
-3.38529,-49.0058,160
-3.34912,-48.8275,-1
-19.1674,-49.34569,169
-3.85002,-51.86908,170
-20.32865,-57.34254,-1
-3.85053,-51.87221,170
-3.34271,-48.8285,162
-3.87267,-52.04086,-1
-20.40911,-58.79412,171
-4.16874,-53.87109,-1
-20.40967,-58.79809,171
-4.37798,-55.18223,172
-20.41023,-58.80206,171
-20.40566,-58.79467,171
-4.37856,-55.1859,172
-20.40678,-58.80261,171
-3.52787,-49.97917,-1
-20.4051,-58.7907,171
-20.40622,-58.79864,171
-3.66058,-50.85105,-1
-20.40165,-58.79125,171
-20.40333,-58.80315,171
-4.12065,-53.65984,-1
-3.54754,-50.20666,-1
-20.3982,-58.79179,171
-20.39932,-58.79972,171
-3.84035,-51.97317,-1
-20.39988,-58.8037,171
-20.39876,-58.79576,171
-3.84793,-52.01925,-1
-20.39587,-58.80027,171
-20.39643,-58.80424,171
-4.36317,-55.19551,173
-20.39475,-58.79234,171
-4.36376,-55.1992,173
-20.39531,-58.7963,171
-4.37542,-55.27224,-1
-20.39298,-58.80478,171
-20.39242,-58.80081,171
-3.49253,-49.9141,174
-20.39186,-58.79684,171
-3.30625,-48.80752,83
-20.38841,-58.7974,171
-3.42354,-49.50328,-1
-20.38897,-58.80136,171
-3.49324,-49.91833,174
-3.56709,-50.35957,-1
-20.38552,-58.8019,171
-20.38206,-58.80244,171
-3.83465,-51.97093,175
-20.38318,-58.81038,171
-3.83516,-51.97399,175
-20.37917,-58.80695,171
-3.85798,-52.11242,-1
-20.37973,-58.81093,171
-3.86539,-52.15742,-1
-20.37861,-58.80298,171
-20.38029,-58.8149,171
-20.37461,-58.79956,171
-4.35902,-55.19606,173
-20.37628,-58.81147,171
