latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-5.37196,-39.80838,331.36,0.38,0.44,2023-11-02,1548,N,low,2.0NRT,303.13,4.76,D
-6.20196,-46.72587,337.26,0.57,0.69,2023-11-02,1548,N,nominal,2.0NRT,292.82,11.38,D
-6.20268,-46.73134,341.74,0.57,0.69,2023-11-02,1548,N,nominal,2.0NRT,292.83,8.79,D
-5.80071,-43.99616,334.58,0.37,0.58,2023-11-02,1548,N,nominal,2.0NRT,290.81,4.88,D
-6.12017,-46.70327,332.04,0.57,0.69,2023-11-02,1548,N,nominal,2.0NRT,292.84,3.93,D
-6.12089,-46.70862,336.24,0.57,0.69,2023-11-02,1548,N,nominal,2.0NRT,292.72,3.93,D
-5.05295,-39.14941,336.47,0.52,0.42,2023-11-02,1548,N,nominal,2.0NRT,300.56,6.98,D
-5.27697,-40.97992,330.2,0.46,0.47,2023-11-02,1548,N,nominal,2.0NRT,298.99,2.34,D
-5.24205,-40.99242,351.31,0.46,0.47,2023-11-02,1548,N,nominal,2.0NRT,305.99,46.86,D
-5.94288,-46.52101,332.24,0.55,0.68,2023-11-02,1548,N,nominal,2.0NRT,291.88,6.65,D
